,predicted_price,current_price,price_delta,pct_change,action
54,50.0,49.99,0.01,0.02,hold
55,55.0,54.99,0.01,0.02,increase
56,59.97,59.99,-0.02,-0.03,decrease
57,64.95,64.99,-0.04,-0.06,decrease
58,69.92,69.99,-0.07,-0.1,decrease
59,74.85,74.99,-0.14,-0.19,decrease
60,30.09,29.99,0.1,0.35,increase
61,35.06,34.99,0.07,0.19,increase
62,40.04,39.99,0.05,0.13,increase
63,45.03,44.99,0.04,0.08,increase
64,50.02,49.99,0.03,0.06,increase
65,55.02,54.99,0.03,0.05,increase
66,60.01,59.99,0.02,0.03,increase
67,64.92,64.99,-0.07,-0.11,decrease
68,69.82,69.99,-0.17,-0.25,decrease
69,74.69,74.99,-0.3,-0.4,decrease
70,30.25,29.99,0.26,0.87,increase
71,35.09,34.99,0.1,0.28,increase
72,40.06,39.99,0.07,0.18,increase
73,45.04,44.99,0.05,0.12,increase
74,50.03,49.99,0.04,0.08,increase
75,54.92,54.99,-0.07,-0.12,decrease
76,59.9,59.99,-0.09,-0.15,decrease
77,64.87,64.99,-0.12,-0.19,decrease
78,69.82,69.99,-0.17,-0.25,decrease
79,74.62,74.99,-0.37,-0.5,decrease
80,30.28,29.99,0.29,0.98,increase
81,35.17,34.99,0.18,0.51,increase
82,40.09,39.99,0.1,0.24,increase
83,45.06,44.99,0.07,0.15,increase
84,50.0,49.99,0.01,0.02,hold
85,55.0,54.99,0.01,0.02,increase
86,59.97,59.99,-0.02,-0.03,decrease
87,64.95,64.99,-0.04,-0.06,decrease
88,69.92,69.99,-0.07,-0.1,decrease
89,74.85,74.99,-0.14,-0.19,decrease
90,30.09,29.99,0.1,0.35,increase
91,35.06,34.99,0.07,0.19,increase
92,40.04,39.99,0.05,0.13,increase
93,45.03,44.99,0.04,0.08,increase
94,50.02,49.99,0.03,0.06,increase
95,55.02,54.99,0.03,0.05,increase
96,60.01,59.99,0.02,0.03,increase
97,64.99,64.99,-0.0,-0.0,hold
98,69.89,69.99,-0.1,-0.14,decrease
99,74.85,74.99,-0.14,-0.19,decrease
100,30.07,29.99,0.08,0.27,increase
101,35.01,34.99,0.02,0.06,increase
102,39.99,39.99,-0.0,-0.0,hold
103,45.04,44.99,0.05,0.12,increase
104,50.03,49.99,0.04,0.08,increase
105,54.92,54.99,-0.07,-0.12,decrease
106,59.9,59.99,-0.09,-0.15,decrease
107,64.87,64.99,-0.12,-0.19,decrease
108,69.82,69.99,-0.17,-0.25,decrease
109,74.62,74.99,-0.37,-0.5,decrease
110,30.28,29.99,0.29,0.98,increase
111,35.17,34.99,0.18,0.51,increase
112,40.09,39.99,0.1,0.24,increase
113,45.06,44.99,0.07,0.15,increase
114,50.0,49.99,0.01,0.02,hold
115,55.0,54.99,0.01,0.02,increase
116,59.97,59.99,-0.02,-0.03,decrease
117,64.95,64.99,-0.04,-0.06,decrease
118,69.92,69.99,-0.07,-0.1,decrease
119,74.85,74.99,-0.14,-0.19,decrease
120,30.09,29.99,0.1,0.35,increase
121,35.06,34.99,0.07,0.19,increase
122,40.04,39.99,0.05,0.13,increase
123,45.03,44.99,0.04,0.08,increase
124,50.02,49.99,0.03,0.06,increase
125,55.02,54.99,0.03,0.05,increase
126,60.01,59.99,0.02,0.03,increase
127,64.92,64.99,-0.07,-0.11,decrease
128,69.82,69.99,-0.17,-0.25,decrease
129,74.69,74.99,-0.3,-0.4,decrease
130,30.25,29.99,0.26,0.87,increase
131,35.09,34.99,0.1,0.28,increase
132,40.06,39.99,0.07,0.18,increase
133,45.04,44.99,0.05,0.12,increase
134,50.03,49.99,0.04,0.08,increase
135,54.92,54.99,-0.07,-0.12,decrease
136,59.9,59.99,-0.09,-0.15,decrease
137,64.87,64.99,-0.12,-0.19,decrease
138,69.82,69.99,-0.17,-0.25,decrease
139,74.62,74.99,-0.37,-0.5,decrease
140,30.28,29.99,0.29,0.98,increase
141,35.17,34.99,0.18,0.51,increase
142,40.09,39.99,0.1,0.24,increase
143,45.06,44.99,0.07,0.15,increase
144,50.0,49.99,0.01,0.02,hold
145,55.0,54.99,0.01,0.02,increase
146,59.97,59.99,-0.02,-0.03,decrease
147,64.95,64.99,-0.04,-0.06,decrease
148,69.92,69.99,-0.07,-0.1,decrease
149,74.85,74.99,-0.14,-0.19,decrease
150,30.09,29.99,0.1,0.35,increase
151,35.06,34.99,0.07,0.19,increase
152,40.04,39.99,0.05,0.13,increase
153,45.03,44.99,0.04,0.08,increase
154,50.02,49.99,0.03,0.06,increase
155,55.02,54.99,0.03,0.05,increase
156,60.01,59.99,0.02,0.03,increase
157,64.92,64.99,-0.07,-0.11,decrease
158,69.82,69.99,-0.17,-0.25,decrease
159,74.69,74.99,-0.3,-0.4,decrease
160,30.25,29.99,0.26,0.87,increase
161,35.09,34.99,0.1,0.28,increase
162,40.06,39.99,0.07,0.18,increase
163,45.04,44.99,0.05,0.12,increase
164,50.03,49.99,0.04,0.08,increase
165,54.92,54.99,-0.07,-0.12,decrease
166,59.9,59.99,-0.09,-0.15,decrease
167,64.87,64.99,-0.12,-0.19,decrease
168,69.82,69.99,-0.17,-0.25,decrease
169,74.62,74.99,-0.37,-0.5,decrease
170,30.28,29.99,0.29,0.98,increase
171,35.17,34.99,0.18,0.51,increase
172,40.09,39.99,0.1,0.24,increase
173,45.06,44.99,0.07,0.15,increase
174,50.0,49.99,0.01,0.02,hold
175,55.0,54.99,0.01,0.02,increase
176,59.97,59.99,-0.02,-0.03,decrease
177,64.95,64.99,-0.04,-0.06,decrease
178,69.92,69.99,-0.07,-0.1,decrease
179,74.85,74.99,-0.14,-0.19,decrease
180,30.09,29.99,0.1,0.35,increase
181,35.06,34.99,0.07,0.19,increase
182,40.04,39.99,0.05,0.13,increase
183,45.03,44.99,0.04,0.08,increase
184,50.02,49.99,0.03,0.06,increase
185,55.02,54.99,0.03,0.05,increase
186,60.01,59.99,0.02,0.03,increase
187,64.92,64.99,-0.07,-0.11,decrease
188,69.82,69.99,-0.17,-0.25,decrease
189,74.69,74.99,-0.3,-0.4,decrease
190,30.25,29.99,0.26,0.87,increase
191,35.09,34.99,0.1,0.28,increase
192,40.06,39.99,0.07,0.18,increase
193,45.04,44.99,0.05,0.12,increase
194,50.03,49.99,0.04,0.08,increase
195,54.92,54.99,-0.07,-0.12,decrease
196,59.9,59.99,-0.09,-0.15,decrease
197,64.94,64.99,-0.05,-0.08,decrease
198,69.89,69.99,-0.1,-0.14,decrease
199,74.83,74.99,-0.16,-0.21,decrease
200,30.1,29.99,0.11,0.38,increase
201,35.09,34.99,0.1,0.3,increase
202,40.01,39.99,0.02,0.06,increase
203,45.06,44.99,0.07,0.15,increase
204,50.0,49.99,0.01,0.02,hold
205,55.0,54.99,0.01,0.02,increase
206,59.97,59.99,-0.02,-0.03,decrease
207,64.95,64.99,-0.04,-0.06,decrease
208,69.92,69.99,-0.07,-0.1,decrease
209,74.85,74.99,-0.14,-0.19,decrease
210,30.09,29.99,0.1,0.35,increase
211,35.06,34.99,0.07,0.19,increase
212,40.04,39.99,0.05,0.13,increase
213,45.03,44.99,0.04,0.08,increase
214,50.02,49.99,0.03,0.06,increase
215,55.02,54.99,0.03,0.05,increase
216,60.01,59.99,0.02,0.03,increase
217,64.92,64.99,-0.07,-0.11,decrease
218,69.82,69.99,-0.17,-0.25,decrease
219,74.69,74.99,-0.3,-0.4,decrease
220,30.25,29.99,0.26,0.87,increase
221,35.09,34.99,0.1,0.28,increase
222,40.06,39.99,0.07,0.18,increase
223,45.04,44.99,0.05,0.12,increase
224,50.03,49.99,0.04,0.08,increase
225,54.92,54.99,-0.07,-0.12,decrease
226,59.9,59.99,-0.09,-0.15,decrease
227,64.87,64.99,-0.12,-0.19,decrease
228,69.82,69.99,-0.17,-0.25,decrease
229,74.62,74.99,-0.37,-0.5,decrease
230,30.28,29.99,0.29,0.98,increase
231,35.17,34.99,0.18,0.51,increase
232,40.09,39.99,0.1,0.24,increase
233,45.06,44.99,0.07,0.15,increase
234,50.0,49.99,0.01,0.02,hold
235,55.0,54.99,0.01,0.02,increase
236,59.97,59.99,-0.02,-0.03,decrease
237,64.95,64.99,-0.04,-0.06,decrease
238,69.92,69.99,-0.07,-0.1,decrease
239,74.85,74.99,-0.14,-0.19,decrease
240,30.09,29.99,0.1,0.35,increase
241,35.06,34.99,0.07,0.19,increase
242,40.04,39.99,0.05,0.13,increase
243,45.03,44.99,0.04,0.08,increase
244,50.02,49.99,0.03,0.06,increase
245,55.02,54.99,0.03,0.05,increase
246,60.01,59.99,0.02,0.03,increase
247,64.92,64.99,-0.07,-0.11,decrease
248,69.82,69.99,-0.17,-0.25,decrease
249,74.69,74.99,-0.3,-0.4,decrease
250,30.25,29.99,0.26,0.87,increase
251,35.09,34.99,0.1,0.28,increase
252,40.06,39.99,0.07,0.18,increase
253,45.04,44.99,0.05,0.12,increase
254,50.03,49.99,0.04,0.08,increase
255,54.92,54.99,-0.07,-0.12,decrease
256,59.9,59.99,-0.09,-0.15,decrease
257,64.87,64.99,-0.12,-0.19,decrease
258,69.82,69.99,-0.17,-0.25,decrease
259,74.62,74.99,-0.37,-0.5,decrease
260,30.28,29.99,0.29,0.98,increase
261,35.17,34.99,0.18,0.51,increase
262,40.09,39.99,0.1,0.24,increase
263,45.06,44.99,0.07,0.15,increase
264,50.0,49.99,0.01,0.02,hold
265,55.0,54.99,0.01,0.02,increase
266,59.97,59.99,-0.02,-0.03,decrease
267,64.95,64.99,-0.04,-0.06,decrease
268,69.92,69.99,-0.07,-0.1,decrease
269,74.85,74.99,-0.14,-0.19,decrease
270,30.09,29.99,0.1,0.35,increase
271,35.06,34.99,0.07,0.19,increase
272,40.04,39.99,0.05,0.13,increase
273,45.03,44.99,0.04,0.08,increase
274,50.02,49.99,0.03,0.06,increase
275,55.02,54.99,0.03,0.05,increase
276,60.01,59.99,0.02,0.03,increase
277,64.92,64.99,-0.07,-0.11,decrease
278,69.82,69.99,-0.17,-0.25,decrease
279,74.69,74.99,-0.3,-0.4,decrease
280,30.25,29.99,0.26,0.87,increase
281,35.09,34.99,0.1,0.28,increase
282,40.06,39.99,0.07,0.18,increase
283,45.04,44.99,0.05,0.12,increase
284,50.03,49.99,0.04,0.08,increase
285,54.92,54.99,-0.07,-0.12,decrease
286,59.9,59.99,-0.09,-0.15,decrease
287,64.87,64.99,-0.12,-0.19,decrease
288,69.82,69.99,-0.17,-0.25,decrease
289,74.62,74.99,-0.37,-0.5,decrease
290,30.28,29.99,0.29,0.98,increase
291,35.17,34.99,0.18,0.51,increase
292,40.09,39.99,0.1,0.24,increase
293,45.06,44.99,0.07,0.15,increase
294,50.0,49.99,0.01,0.02,hold
295,55.0,54.99,0.01,0.02,increase
296,59.97,59.99,-0.02,-0.03,decrease
297,64.97,64.99,-0.02,-0.04,decrease
298,69.9,69.99,-0.09,-0.12,decrease
299,75.03,74.99,0.04,0.05,increase
300,30.09,29.99,0.1,0.32,increase
301,35.08,34.99,0.09,0.24,increase
302,40.02,39.99,0.03,0.08,increase
303,45.03,44.99,0.04,0.08,increase
304,50.02,49.99,0.03,0.06,increase
305,55.02,54.99,0.03,0.05,increase
306,60.01,59.99,0.02,0.03,increase
307,64.92,64.99,-0.07,-0.11,decrease
308,69.82,69.99,-0.17,-0.25,decrease
309,74.69,74.99,-0.3,-0.4,decrease
310,30.25,29.99,0.26,0.87,increase
311,35.09,34.99,0.1,0.28,increase
312,40.06,39.99,0.07,0.18,increase
313,45.04,44.99,0.05,0.12,increase
314,50.03,49.99,0.04,0.08,increase
315,54.92,54.99,-0.07,-0.12,decrease
316,59.9,59.99,-0.09,-0.15,decrease
317,64.87,64.99,-0.12,-0.19,decrease
318,69.82,69.99,-0.17,-0.25,decrease
319,74.62,74.99,-0.37,-0.5,decrease
320,30.28,29.99,0.29,0.98,increase
321,35.17,34.99,0.18,0.51,increase
322,40.09,39.99,0.1,0.24,increase
323,45.06,44.99,0.07,0.15,increase
324,50.0,49.99,0.01,0.02,hold
325,55.0,54.99,0.01,0.02,increase
326,59.97,59.99,-0.02,-0.03,decrease
327,64.95,64.99,-0.04,-0.06,decrease
328,69.92,69.99,-0.07,-0.1,decrease
329,74.85,74.99,-0.14,-0.19,decrease
330,30.09,29.99,0.1,0.35,increase
331,35.06,34.99,0.07,0.19,increase
332,40.04,39.99,0.05,0.13,increase
333,45.03,44.99,0.04,0.08,increase
334,50.02,49.99,0.03,0.06,increase
335,55.02,54.99,0.03,0.05,increase
336,60.01,59.99,0.02,0.03,increase
337,64.92,64.99,-0.07,-0.11,decrease
338,69.82,69.99,-0.17,-0.25,decrease
339,74.69,74.99,-0.3,-0.4,decrease
340,30.25,29.99,0.26,0.87,increase
341,35.09,34.99,0.1,0.28,increase
342,40.06,39.99,0.07,0.18,increase
343,45.04,44.99,0.05,0.12,increase
344,50.03,49.99,0.04,0.08,increase
345,54.92,54.99,-0.07,-0.12,decrease
346,59.9,59.99,-0.09,-0.15,decrease
347,64.87,64.99,-0.12,-0.19,decrease
348,69.82,69.99,-0.17,-0.25,decrease
349,74.62,74.99,-0.37,-0.5,decrease
350,30.28,29.99,0.29,0.98,increase
351,35.17,34.99,0.18,0.51,increase
352,40.09,39.99,0.1,0.24,increase
353,45.06,44.99,0.07,0.15,increase
354,50.0,49.99,0.01,0.02,hold
355,55.0,54.99,0.01,0.02,increase
356,59.97,59.99,-0.02,-0.03,decrease
357,64.95,64.99,-0.04,-0.06,decrease
358,69.92,69.99,-0.07,-0.1,decrease
359,74.85,74.99,-0.14,-0.19,decrease
360,30.09,29.99,0.1,0.35,increase
361,35.06,34.99,0.07,0.19,increase
362,40.04,39.99,0.05,0.13,increase
363,45.03,44.99,0.04,0.08,increase
364,50.02,49.99,0.03,0.06,increase
365,55.02,54.99,0.03,0.05,increase
366,60.01,59.99,0.02,0.03,increase
367,64.92,64.99,-0.07,-0.11,decrease
368,69.82,69.99,-0.17,-0.25,decrease
369,74.69,74.99,-0.3,-0.4,decrease
370,30.25,29.99,0.26,0.87,increase
371,35.09,34.99,0.1,0.28,increase
372,40.06,39.99,0.07,0.18,increase
373,45.04,44.99,0.05,0.12,increase
374,50.03,49.99,0.04,0.08,increase
375,54.92,54.99,-0.07,-0.12,decrease
376,59.9,59.99,-0.09,-0.15,decrease
377,64.87,64.99,-0.12,-0.19,decrease
378,69.82,69.99,-0.17,-0.25,decrease
379,74.62,74.99,-0.37,-0.5,decrease
380,30.28,29.99,0.29,0.98,increase
381,35.17,34.99,0.18,0.51,increase
382,40.09,39.99,0.1,0.24,increase
383,45.06,44.99,0.07,0.15,increase
384,50.0,49.99,0.01,0.02,hold
385,55.0,54.99,0.01,0.02,increase
386,59.97,59.99,-0.02,-0.03,decrease
387,64.95,64.99,-0.04,-0.06,decrease
388,69.92,69.99,-0.07,-0.1,decrease
389,74.85,74.99,-0.14,-0.19,decrease
390,30.09,29.99,0.1,0.35,increase
391,35.06,34.99,0.07,0.19,increase
392,40.04,39.99,0.05,0.13,increase
393,45.03,44.99,0.04,0.08,increase
394,50.02,49.99,0.03,0.06,increase
395,55.02,54.99,0.03,0.05,increase
396,60.01,59.99,0.02,0.03,increase
397,64.99,64.99,-0.0,-0.0,hold
398,69.89,69.99,-0.1,-0.14,decrease
399,74.85,74.99,-0.14,-0.19,decrease
400,30.07,29.99,0.08,0.27,increase
401,35.01,34.99,0.02,0.06,increase
402,39.99,39.99,-0.0,-0.0,hold
403,45.04,44.99,0.05,0.12,increase
404,50.03,49.99,0.04,0.08,increase
405,54.92,54.99,-0.07,-0.12,decrease
406,59.9,59.99,-0.09,-0.15,decrease
407,64.87,64.99,-0.12,-0.19,decrease
408,69.82,69.99,-0.17,-0.25,decrease
409,74.62,74.99,-0.37,-0.5,decrease
410,30.28,29.99,0.29,0.98,increase
411,35.17,34.99,0.18,0.51,increase
412,40.09,39.99,0.1,0.24,increase
413,45.06,44.99,0.07,0.15,increase
414,50.0,49.99,0.01,0.02,hold
415,55.0,54.99,0.01,0.02,increase
416,59.97,59.99,-0.02,-0.03,decrease
417,64.95,64.99,-0.04,-0.06,decrease
418,69.92,69.99,-0.07,-0.1,decrease
419,74.85,74.99,-0.14,-0.19,decrease
420,30.09,29.99,0.1,0.35,increase
421,35.06,34.99,0.07,0.19,increase
422,40.04,39.99,0.05,0.13,increase
423,45.03,44.99,0.04,0.08,increase
424,50.02,49.99,0.03,0.06,increase
425,55.02,54.99,0.03,0.05,increase
426,60.01,59.99,0.02,0.03,increase
427,64.92,64.99,-0.07,-0.11,decrease
428,69.82,69.99,-0.17,-0.25,decrease
429,74.69,74.99,-0.3,-0.4,decrease
430,30.25,29.99,0.26,0.87,increase
431,35.09,34.99,0.1,0.28,increase
432,40.06,39.99,0.07,0.18,increase
433,45.04,44.99,0.05,0.12,increase
434,50.03,49.99,0.04,0.08,increase
435,54.92,54.99,-0.07,-0.12,decrease
436,59.9,59.99,-0.09,-0.15,decrease
437,64.87,64.99,-0.12,-0.19,decrease
438,69.82,69.99,-0.17,-0.25,decrease
439,74.62,74.99,-0.37,-0.5,decrease
440,30.28,29.99,0.29,0.98,increase
441,35.17,34.99,0.18,0.51,increase
442,40.09,39.99,0.1,0.24,increase
443,45.06,44.99,0.07,0.15,increase
444,50.0,49.99,0.01,0.02,hold
445,55.0,54.99,0.01,0.02,increase
446,59.97,59.99,-0.02,-0.03,decrease
447,64.95,64.99,-0.04,-0.06,decrease
448,69.92,69.99,-0.07,-0.1,decrease
449,74.85,74.99,-0.14,-0.19,decrease
450,30.09,29.99,0.1,0.35,increase
451,35.06,34.99,0.07,0.19,increase
452,40.04,39.99,0.05,0.13,increase
453,45.03,44.99,0.04,0.08,increase
454,50.02,49.99,0.03,0.06,increase
455,55.02,54.99,0.03,0.05,increase
456,60.01,59.99,0.02,0.03,increase
457,64.92,64.99,-0.07,-0.11,decrease
458,69.82,69.99,-0.17,-0.25,decrease
459,74.69,74.99,-0.3,-0.4,decrease
460,30.25,29.99,0.26,0.87,increase
461,35.09,34.99,0.1,0.28,increase
462,40.06,39.99,0.07,0.18,increase
463,45.04,44.99,0.05,0.12,increase
464,50.03,49.99,0.04,0.08,increase
465,54.92,54.99,-0.07,-0.12,decrease
466,59.9,59.99,-0.09,-0.15,decrease
467,64.87,64.99,-0.12,-0.19,decrease
468,69.82,69.99,-0.17,-0.25,decrease
469,74.62,74.99,-0.37,-0.5,decrease
470,30.28,29.99,0.29,0.98,increase
471,35.17,34.99,0.18,0.51,increase
472,40.09,39.99,0.1,0.24,increase
473,45.06,44.99,0.07,0.15,increase
474,50.0,49.99,0.01,0.02,hold
475,55.0,54.99,0.01,0.02,increase
476,59.97,59.99,-0.02,-0.03,decrease
477,64.95,64.99,-0.04,-0.06,decrease
478,69.92,69.99,-0.07,-0.1,decrease
479,74.85,74.99,-0.14,-0.19,decrease
480,30.09,29.99,0.1,0.35,increase
481,35.06,34.99,0.07,0.19,increase
482,40.04,39.99,0.05,0.13,increase
483,45.03,44.99,0.04,0.08,increase
484,50.02,49.99,0.03,0.06,increase
485,55.02,54.99,0.03,0.05,increase
486,60.01,59.99,0.02,0.03,increase
487,64.92,64.99,-0.07,-0.11,decrease
488,69.82,69.99,-0.17,-0.25,decrease
489,74.69,74.99,-0.3,-0.4,decrease
490,30.25,29.99,0.26,0.87,increase
491,35.09,34.99,0.1,0.28,increase
492,40.06,39.99,0.07,0.18,increase
493,45.04,44.99,0.05,0.12,increase
494,50.03,49.99,0.04,0.08,increase
495,54.92,54.99,-0.07,-0.12,decrease
496,59.9,59.99,-0.09,-0.15,decrease
497,64.94,64.99,-0.05,-0.08,decrease
498,69.89,69.99,-0.1,-0.14,decrease
499,74.83,74.99,-0.16,-0.21,decrease
500,30.1,29.99,0.11,0.38,increase
501,35.09,34.99,0.1,0.3,increase
502,40.01,39.99,0.02,0.06,increase
503,45.06,44.99,0.07,0.15,increase
504,50.0,49.99,0.01,0.02,hold
505,55.0,54.99,0.01,0.02,increase
506,59.97,59.99,-0.02,-0.03,decrease
507,64.95,64.99,-0.04,-0.06,decrease
508,69.92,69.99,-0.07,-0.1,decrease
509,74.85,74.99,-0.14,-0.19,decrease
510,30.09,29.99,0.1,0.35,increase
511,35.06,34.99,0.07,0.19,increase
512,40.04,39.99,0.05,0.13,increase
513,45.03,44.99,0.04,0.08,increase
514,50.02,49.99,0.03,0.06,increase
515,55.02,54.99,0.03,0.05,increase
516,60.01,59.99,0.02,0.03,increase
517,64.92,64.99,-0.07,-0.11,decrease
518,69.82,69.99,-0.17,-0.25,decrease
519,74.69,74.99,-0.3,-0.4,decrease
520,30.25,29.99,0.26,0.87,increase
521,35.09,34.99,0.1,0.28,increase
522,40.06,39.99,0.07,0.18,increase
523,45.04,44.99,0.05,0.12,increase
524,50.03,49.99,0.04,0.08,increase
525,54.92,54.99,-0.07,-0.12,decrease
526,59.9,59.99,-0.09,-0.15,decrease
527,64.87,64.99,-0.12,-0.19,decrease
528,69.82,69.99,-0.17,-0.25,decrease
529,74.62,74.99,-0.37,-0.5,decrease
530,30.28,29.99,0.29,0.98,increase
531,35.17,34.99,0.18,0.51,increase
532,40.09,39.99,0.1,0.24,increase
533,45.06,44.99,0.07,0.15,increase
534,50.0,49.99,0.01,0.02,hold
535,55.0,54.99,0.01,0.02,increase
536,59.97,59.99,-0.02,-0.03,decrease
537,64.95,64.99,-0.04,-0.06,decrease
538,69.92,69.99,-0.07,-0.1,decrease
539,74.85,74.99,-0.14,-0.19,decrease
540,30.09,29.99,0.1,0.35,increase
541,35.06,34.99,0.07,0.19,increase
542,40.04,39.99,0.05,0.13,increase
543,45.03,44.99,0.04,0.08,increase
544,50.02,49.99,0.03,0.06,increase
545,55.02,54.99,0.03,0.05,increase
546,60.01,59.99,0.02,0.03,increase
547,64.92,64.99,-0.07,-0.11,decrease
548,69.82,69.99,-0.17,-0.25,decrease
549,74.69,74.99,-0.3,-0.4,decrease
550,30.25,29.99,0.26,0.87,increase
551,35.09,34.99,0.1,0.28,increase
552,40.06,39.99,0.07,0.18,increase
553,45.04,44.99,0.05,0.12,increase
554,50.03,49.99,0.04,0.08,increase
555,54.92,54.99,-0.07,-0.12,decrease
556,59.9,59.99,-0.09,-0.15,decrease
557,64.87,64.99,-0.12,-0.19,decrease
558,69.82,69.99,-0.17,-0.25,decrease
559,74.62,74.99,-0.37,-0.5,decrease
560,30.28,29.99,0.29,0.98,increase
561,35.17,34.99,0.18,0.51,increase
562,40.09,39.99,0.1,0.24,increase
563,45.06,44.99,0.07,0.15,increase
564,50.0,49.99,0.01,0.02,hold
565,55.0,54.99,0.01,0.02,increase
566,59.97,59.99,-0.02,-0.03,decrease
567,64.95,64.99,-0.04,-0.06,decrease
568,69.92,69.99,-0.07,-0.1,decrease
569,74.85,74.99,-0.14,-0.19,decrease
570,30.09,29.99,0.1,0.35,increase
571,35.06,34.99,0.07,0.19,increase
572,40.04,39.99,0.05,0.13,increase
573,45.03,44.99,0.04,0.08,increase
574,50.02,49.99,0.03,0.06,increase
575,55.02,54.99,0.03,0.05,increase
576,60.01,59.99,0.02,0.03,increase
577,64.92,64.99,-0.07,-0.11,decrease
578,69.82,69.99,-0.17,-0.25,decrease
579,74.69,74.99,-0.3,-0.4,decrease
580,30.25,29.99,0.26,0.87,increase
581,35.09,34.99,0.1,0.28,increase
582,40.06,39.99,0.07,0.18,increase
583,45.04,44.99,0.05,0.12,increase
584,50.03,49.99,0.04,0.08,increase
585,54.92,54.99,-0.07,-0.12,decrease
586,59.9,59.99,-0.09,-0.15,decrease
587,64.87,64.99,-0.12,-0.19,decrease
588,69.82,69.99,-0.17,-0.25,decrease
589,74.62,74.99,-0.37,-0.5,decrease
590,30.28,29.99,0.29,0.98,increase
591,35.17,34.99,0.18,0.51,increase
592,40.09,39.99,0.1,0.24,increase
593,45.06,44.99,0.07,0.15,increase
594,50.0,49.99,0.01,0.02,hold
595,55.0,54.99,0.01,0.02,increase
596,59.97,59.99,-0.02,-0.03,decrease
597,64.97,64.99,-0.02,-0.04,decrease
598,69.9,69.99,-0.09,-0.12,decrease
599,75.03,74.99,0.04,0.05,increase
600,30.09,29.99,0.1,0.32,increase
601,35.08,34.99,0.09,0.24,increase
602,40.02,39.99,0.03,0.08,increase
603,45.03,44.99,0.04,0.08,increase
604,50.02,49.99,0.03,0.06,increase
605,55.02,54.99,0.03,0.05,increase
606,60.01,59.99,0.02,0.03,increase
607,64.92,64.99,-0.07,-0.11,decrease
608,69.82,69.99,-0.17,-0.25,decrease
609,74.69,74.99,-0.3,-0.4,decrease
610,30.25,29.99,0.26,0.87,increase
611,35.09,34.99,0.1,0.28,increase
612,40.06,39.99,0.07,0.18,increase
613,45.04,44.99,0.05,0.12,increase
614,50.03,49.99,0.04,0.08,increase
615,54.92,54.99,-0.07,-0.12,decrease
616,59.9,59.99,-0.09,-0.15,decrease
617,64.87,64.99,-0.12,-0.19,decrease
618,69.82,69.99,-0.17,-0.25,decrease
619,74.62,74.99,-0.37,-0.5,decrease
620,30.28,29.99,0.29,0.98,increase
621,35.17,34.99,0.18,0.51,increase
622,40.09,39.99,0.1,0.24,increase
623,45.06,44.99,0.07,0.15,increase
624,50.0,49.99,0.01,0.02,hold
625,55.0,54.99,0.01,0.02,increase
626,59.97,59.99,-0.02,-0.03,decrease
627,64.95,64.99,-0.04,-0.06,decrease
